G,C,B,A,Ia,Ib,Ic,Va,Vb,Vc
0,1,0,0,1,-151.2918124,-9.677451563,85.80016226,0.400749853,-0.132934945,-0.267814907
1,1,0,0,1,-336.18618260000005,-76.28326195,18.32889658,0.312731934,-0.123633156,-0.189098779
2,1,0,0,1,-502.891583,-174.6480233,-80.92466346,0.265728444,-0.11430074900000001,-0.151427695
3,1,0,0,1,-593.9419048999999,-217.7033594,-124.89192390000001,0.235510535,-0.10494025400000001,-0.13057028099999998
4,1,0,0,1,-643.6636172999999,-224.15942740000003,-132.2828154,0.20953688,-0.09555375099999999,-0.113983129
5,1,0,0,1,-632.3127776,-181.714572,-90.79545335,0.19311616399999998,-0.086143789,-0.106972375
6,1,0,0,1,-557.3918085,-119.46864280000001,-29.52944976,0.21000373600000002,-0.076712453,-0.133291283
7,1,0,0,1,-458.799929,-96.31892202,-7.381846512999999,0.273651632,-0.06726231099999999,-0.20638932100000001
8,1,0,0,1,-385.6687288,-97.9898386,-10.07682386,0.334648677,-0.057795449000000006,-0.276853228
9,1,0,0,1,-359.9293378,-87.31947781,-0.45221573600000003,0.34742027799999997,-0.048314452,-0.299105825
10,1,0,0,1,-370.6274975,-66.72024929,19.07982753,0.323889037,-0.038821407999999995,-0.285067629
11,1,0,0,1,-418.53680510000004,-49.02235371,35.68936732,0.274573699,-0.029318913,-0.245254786
12,1,0,0,1,-501.663179,-55.26363629,28.33882818,0.21780926,-0.019809055,-0.198000205
13,1,0,0,1,-597.9307169,-96.59776613,-14.12518651,0.179217168,-0.01029444,-0.168922728
14,1,0,0,1,-668.7147405000001,-136.7722785,-55.44993205,0.160161944,-0.000777153,-0.159384792
15,1,0,0,1,-695.7762888,-141.5324757,-61.38042808,0.14764095900000002,0.008740193,-0.156381152
16,1,0,0,1,-689.3620577,-118.65892439999999,-39.69695143,0.139481802,0.018255517,-0.15773731900000001
17,1,0,0,1,-657.620238,-87.18732268,-9.434907575,0.14377304800000001,0.027766200000000005,-0.171539248
18,1,0,0,1,-608.7362399,-64.94907999,11.5745935,0.16751787699999998,0.03727017,-0.204788047
19,1,0,0,1,-562.5856125,-60.91784627,14.35820396,0.20183240100000002,0.046764805,-0.248597207
20,1,0,0,1,-540.0490857000001,-61.82015586,12.18969836,0.2204049,0.056248042000000005,-0.276652942
21,1,0,0,1,-547.0155778,-53.87059325,18.85480361,0.208581016,0.06571726,-0.274298276
22,1,0,0,1,-576.131384,-42.94978701,28.47320904,0.177477587,0.07517040400000001,-0.252647991
23,1,0,0,1,-620.1411477,-42.15086616,27.95210601,0.14330004300000002,0.084604859,-0.227904902
24,1,0,0,1,-671.4912391,-57.20307281,11.56257908,0.116329729,0.09401858199999999,-0.21034831199999998
25,1,0,0,1,-716.5665004,-79.85244453,-12.44108032,0.10039717599999999,0.103408963,-0.203806139
26,1,0,0,1,-739.9866393,-90.91789667,-24.87745246,0.092265725,0.112773976,-0.20503970100000002
27,1,0,0,1,-738.1559147999999,-81.59280048,-16.93957125,0.08762625,0.122111016,-0.209737266
28,1,0,0,1,-719.6744489,-62.48158713,0.768475329,0.08787604800000001,0.131418075,-0.219294123
29,1,0,0,1,-694.3192701,-47.92105917,13.91023005,0.09631742300000001,0.140692559,-0.23700998199999998
30,1,0,0,1,-669.6007287000001,-43.30994638,17.08731404,0.11112976199999999,0.14993248,-0.261062242
31,1,0,0,1,-654.1055685,-44.78447582,14.16385325,0.122624806,0.159135256,-0.281760062
32,1,0,0,1,-654.5536268,-44.53472324,12.95013023,0.119844459,0.16829892,-0.288143378
33,1,0,0,1,-670.7023217,-40.46408501,15.5431089,0.101782601,0.17742090600000002,-0.279203507
34,1,0,0,1,-696.3007298,-38.61234408,15.90337169,0.078339873,0.186499269,-0.26483914199999997
35,1,0,0,1,-724.5952478999999,-44.50652386,8.504262436,0.059087746,0.19553146300000002,-0.25461920899999996
36,1,0,0,1,-749.5639267000001,-55.91185509,-4.419077557,0.046813184,0.204515566,-0.25132875
37,1,0,0,1,-765.0091072,-64.41345483,-14.45139151,0.039568703,0.21344905399999997,-0.253017757
38,1,0,0,1,-766.5480144999999,-62.7524637,-14.33344168,0.034988543999999996,0.222330031,-0.257318575
39,1,0,0,1,-755.860827,-52.33045787,-5.46642417,0.032738472000000005,0.231155997,-0.26389446899999996
40,1,0,0,1,-739.5017946,-41.59137732,3.7061053439999996,0.034194632,0.23992508399999998,-0.274119716
41,1,0,0,1,-724.0423069,-36.90443023,6.8153245810000005,0.039087255,0.248634816,-0.287722071
42,1,0,0,1,-713.6556402000001,-37.54192654,4.589313497,0.043598476,0.257283359,-0.30088183399999996
43,1,0,0,1,-711.1845619,-38.96511537,1.567214312,0.042108627,0.265868263,-0.30797689
44,1,0,0,1,-717.61174,-38.33916184,0.58425701,0.03190515,0.27438772699999997,-0.306292876
45,1,0,0,1,-730.8728844,-37.25322272,0.051681202,0.016042159,0.28283933,-0.298881489
46,1,0,0,1,-746.4500891,-39.14069498,-3.4635101610000003,0.000792353,0.291221307,-0.29201366
47,1,0,0,1,-759.9000137999999,-44.53652324,-10.49586063,-0.010052517,0.299531269,-0.289478752
48,1,0,0,1,-767.9065582999999,-49.71114859,-17.31540699,-0.01693867,0.307767487,-0.290828817
49,1,0,0,1,-768.5003624,-50.20716439,-19.46433724,-0.02191406,0.315927607,-0.294013547
50,1,0,0,1,-761.6230144,-45.06257839,-15.98025082,-0.025736922000000002,0.32400993699999997,-0.298273015
51,1,0,0,1,-750.0336792,-37.83102673,-10.41637462,-0.027847196,0.332012162,-0.304164967
52,1,0,0,1,-737.9861907000001,-33.08663043,-7.34641774,-0.028040425,0.339932629,-0.311892205
53,1,0,0,1,-728.9864057999999,-32.24585197,-8.186429972,-0.027964556,0.347769062,-0.319804506
54,1,0,0,1,-724.6359995,-33.14378583,-10.77109063,-0.030487631,0.355519849,-0.325032218
55,1,0,0,1,-725.2337422,-33.3245196,-12.64407157,-0.037629334,0.363182755,-0.325553422
56,1,0,0,1,-729.9138263,-32.63687725,-13.65377881,-0.048690644000000005,0.370756214,-0.32206557
57,1,0,0,1,-736.6044016,-32.80984188,-15.52877705,-0.06064433,0.37823803100000003,-0.317593702
58,1,0,0,1,-742.4392962000001,-34.86805324,-19.29328571,-0.07047837400000001,0.385626687,-0.315148313
59,1,0,0,1,-745.0419835,-37.53688395,-23.67225676,-0.07741487400000001,0.39292003200000003,-0.315505158
60,1,0,0,1,-743.1712514999999,-38.24657839,-26.095512300000003,-0.082559797,0.40011659299999996,-0.31755679600000003
61,1,0,0,1,-736.9026313999999,-35.69248742,-25.2579807,-0.08703450300000001,0.407214268,-0.320179765
62,1,0,0,1,-727.4560614,-31.07250184,-22.35712894,-0.090878297,0.41421163200000005,-0.323333335
63,1,0,0,1,-717.0400167,-26.98825282,-19.9941643,-0.093807875,0.42110663299999995,-0.327298758
64,1,0,0,1,-707.9230468999999,-25.07463886,-19.80356029,-0.096324063,0.427897895,-0.331573832
65,1,0,0,1,-701.5371453,-24.87053484,-21.32376695,-0.099877509,0.434583416,-0.334705908
66,1,0,0,1,-698.0939449,-24.83010366,-23.00852146,-0.105769871,0.441161874,-0.335392003
67,1,0,0,1,-697.024853,-24.2224455,-24.1264986,-0.11404802,0.44763131799999994,-0.33358329800000003
68,1,0,0,1,-697.2102731000001,-23.6441103,-25.27382227,-0.123320722,0.453990479,-0.330669758
69,1,0,0,1,-697.2003269999999,-23.93926107,-27.29422995,-0.131799542,0.46023746200000004,-0.32843792
70,1,0,0,1,-695.4910436,-24.87587619,-29.95527411,-0.13853206199999998,0.46637105100000004,-0.32783899
71,1,0,0,1,-691.1555113,-25.18340674,-31.98598059,-0.143833563,0.47238940700000004,-0.328555844
72,1,0,0,1,-684.0833802999999,-23.757051500000003,-32.28112276,-0.14850985,0.47829137200000005,-0.329781521
73,1,0,0,1,-674.9605892000001,-20.79158583,-31.03505144,-0.152956968,0.48407516100000003,-0.331118193
74,1,0,0,1,-664.9200258,-17.58814757,-29.54848005,-0.157050828,0.489739676,-0.332688848
75,1,0,0,1,-655.2593508,-15.40190263,-29.07615106,-0.16082712,0.495283191,-0.334456072
76,1,0,0,1,-646.9463551,-14.42907077,-29.81386117,-0.16487705,0.500704666,-0.335827617
77,1,0,0,1,-640.3485373999999,-13.95284145,-31.04437798,-0.170012721,0.506002437,-0.335989716
78,1,0,0,1,-635.1744027000001,-13.26795819,-32.06202372,-0.17651183199999998,0.511175522,-0.334663689
79,1,0,0,1,-630.7856641,-12.39946104,-32.89141851,-0.18381936100000001,0.516222319,-0.332402958
80,1,0,0,1,-626.3647647000001,-11.81689407,-34.00168737,-0.19092255800000002,0.521141909,-0.330219351
81,1,0,0,1,-621.1107857000001,-11.67726803,-35.54942347,-0.19708979199999999,0.525932752,-0.32884296
82,1,0,0,1,-614.3818834,-11.45739325,-37.01102072,-0.202256945,0.530593992,-0.328337047
83,1,0,0,1,-605.9814527000001,-10.44675634,-37.67555094,-0.206844384,0.5351241529999999,-0.328279769
84,1,0,0,1,-596.1887595,-8.460266277,-37.35750969,-0.211224733,0.539522443,-0.328297709
85,1,0,0,1,-585.6609376,-6.064229272,-36.62279161,-0.21546928699999998,0.543787451,-0.32831816399999997
86,1,0,0,1,-575.1315027,-4.044770327,-36.25711171,-0.219537802,0.54791845,-0.32838064899999997
87,1,0,0,1,-565.2197607,-2.759779448,-36.61795204,-0.223626463,0.551914097,-0.328287634
88,1,0,0,1,-556.2161265,-1.9447537959999999,-37.44040359,-0.228153128,0.555773728,-0.327620601
89,1,0,0,1,-548.0655456000001,-1.140377188,-38.26474622,-0.23340546899999998,0.55949607,-0.32609060100000004
90,1,0,0,1,-540.4068943,-0.17189845399999998,-38.91582684,-0.239215128,0.563080525,-0.323865398
91,1,0,0,1,-532.7703066,0.7627220990000001,-39.59120622,-0.24504750100000003,0.5665258870000001,-0.321478386
92,1,0,0,1,-524.6717486,1.4731758119999998,-40.48079572,-0.250383172,0.569831629,-0.319448457
93,1,0,0,1,-515.747572,2.092235454,-41.45142782,-0.25505448,0.5729966129999999,-0.317942132
94,1,0,0,1,-505.81661809999997,3.007235995,-42.11537529,-0.259237596,0.576020379,-0.316782783
95,1,0,0,1,-494.98819330000003,4.4504471169999995,-42.23997889,-0.26320324,0.578901859,-0.31569862
96,1,0,0,1,-483.5960915,6.254267254,-41.99245333,-0.267083112,0.581640666,-0.31455755399999996
97,1,0,0,1,-472.0907403,7.982496659,-41.80861439,-0.270883356,0.5842358,-0.313352444
98,1,0,0,1,-460.8425898,9.326418655,-41.99679767,-0.274649054,0.586686943,-0.312037889
99,1,0,0,1,-450.06553610000003,10.31515524,-42.52750315,-0.278558034,0.58899317,-0.310435136
100,1,0,0,1,-439.7532575,11.20583571,-43.14322664,-0.282793289,0.5911542320000001,-0.308360943
101,1,0,0,1,-429.73822570000004,12.17705775,-43.66499878,-0.287345461,0.593169276,-0.30582381399999997
102,1,0,0,1,-419.73936069999996,13.19618163,-44.12509091,-0.291961714,0.5950381229999999,-0.303076409
103,1,0,0,1,-409.4804417,14.13046477,-44.65588064,-0.29631995899999997,0.596759994,-0.300440035
